"","ano","frota","trimestre","latitude","longitude","dias_pesca","captura","cpue","djf","jfm","fma","mam","amj","mjj","jja","jas","aso","son","ond","ndj"
"1",1995,"Santos",3,23.25,41.75,8,1000,125,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"2",1995,"Santos",1,26.75,47.75,3,150,50,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"3",1995,"Santos",3,25.75,45.75,8,2000,250,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"4",1995,"Santos",3,25.75,46.25,1,50,50,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"5",1995,"Ubatuba",1,24.25,44.25,8,420,52.5,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"6",1995,"Ubatuba",1,24.25,44.25,7,315,45,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"7",1995,"Ubatuba",1,24.25,44.25,8,350,43.75,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"8",1995,"Santos",4,28.25,47.25,12,3500,291.66667,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"9",1995,"Santos",4,25.25,45.75,15,1000,66.66667,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"10",1995,"Santos",1,26.75,46.25,3,1000,333.33333,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"11",1995,"Santos",4,28.25,47.25,4,1500,375,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"12",1995,"Santos",2,28.25,47.25,10,1500,150,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"13",1995,"Santos",2,26.75,47.25,2,400,200,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"14",1995,"Santos",4,25.75,46.25,15,2000,133.33333,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"15",1995,"Santos",3,26.75,46.25,10,1000,100,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"16",1995,"Santos",4,28.25,47.25,10,3500,350,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"17",1995,"Santos",3,26.25,46.75,13,700,53.84615,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"18",1995,"Santos",4,28.25,47.75,8,4500,562.5,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"19",1995,"Santos",2,26.25,46.75,5,2000,400,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"20",1995,"Santos",4,26.75,46.25,5,1500,300,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"21",1995,"Santos",3,28.25,47.25,12,2000,166.66667,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"22",1995,"Santos",3,28.25,47.25,10,4000,400,"1.0","0.7","0.5","0.3","0.1","0.0","-0.2","-0.5","-0.8","-1.0","-1.0","-1.0"
"23",1996,"Ubatuba",3,25.25,46.25,9,650,72.22222,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"24",1996,"Santos",1,23.25,41.75,4,1000,250,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"25",1996,"Ubatuba",3,25.25,46.25,8,1000,125,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"26",1996,"Ubatuba",3,25.25,46.25,10,1000,100,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"27",1996,"Santos",4,26.25,46.75,9,1000,111.11111,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"28",1996,"Ubatuba",2,25.75,46.25,6,1500,250,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"29",1996,"Santos",3,26.25,46.25,3.3,266.6667,80,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"30",1996,"Santos",4,26.25,46.25,10,2000,200,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"31",1996,"Ubatuba",4,26.25,47.25,10,700,70,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"32",1996,"Santos",3,25.25,46.25,3.3,266.6667,80,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"33",1996,"Ubatuba",3,25.25,46.25,8,500,62.5,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"34",1996,"Ubatuba",2,25.75,46.25,6,850,141.66667,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"35",1996,"Ubatuba",4,26.25,47.25,10,1300,130,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"36",1996,"Santos",1,28.25,47.25,9,4000,444.44444,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"37",1996,"Ubatuba",2,25.75,46.25,12,680,56.66667,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"38",1996,"Ubatuba",2,25.75,46.25,13,650,50,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"39",1996,"Santos",3,25.75,46.25,3.3,266.6667,80,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"40",1996,"Santos",1,25.25,46.25,10,3000,300,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"41",1996,"Ubatuba",4,26.75,47.25,10,480,48,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"42",1996,"Ubatuba",2,26.25,46.25,12,565,47.08333,"-0.9","-0.8","-0.6","-0.4","-0.3","-0.3","-0.3","-0.3","-0.4","-0.4","-0.4","-0.5"
"43",1997,"Santos",3,26.75,46.75,14,2000,142.85714,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"44",1997,"Santos",4,26.25,45.75,7.5,1650,220,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"45",1997,"Santos",4,26.25,46.25,7.5,1650,220,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"46",1997,"Santos",3,26.25,45.75,12,6000,500,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"47",1997,"Santos",4,27.75,47.25,5,1342,268.4,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"48",1997,"Santos",4,25.75,45.75,12,3000,250,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"49",1997,"Santos",4,25.75,46.25,4,300,75,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"50",1997,"Santos",4,26.25,46.25,4,300,75,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"51",1997,"Santos",3,26.75,46.25,10,1500,150,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"52",1997,"Santos",2,27.25,46.75,8,4000,500,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"53",1997,"Santos",2,28.25,47.25,8,4500,562.5,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"54",1997,"Santos",4,28.25,47.25,12,5700,475,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"55",1997,"Ubatuba",2,25.25,46.25,12,1700,141.66667,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"56",1997,"Ubatuba",2,25.25,46.25,10,1000,100,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"57",1997,"Ubatuba",3,25.25,46.25,12,3500,291.66667,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"58",1997,"Ubatuba",3,25.25,46.25,10,2800,280,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"59",1997,"Ubatuba",3,25.25,46.25,10,2500,250,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"60",1997,"Ubatuba",3,25.25,46.25,10,2000,200,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"61",1997,"Santos",2,26.75,47.25,15,4000,266.66667,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"62",1997,"Santos",3,26.75,46.25,12,3000,250,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"63",1997,"Santos",3,26.75,46.25,2,400,200,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"64",1997,"Santos",3,26.75,46.25,5,900,180,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"65",1997,"Santos",1,28.25,47.25,10,1300,130,"-0.5","-0.4","-0.1","0.3","0.8","1.2","1.6","1.9","2.1","2.3","2.4","2.4"
"66",1998,"Santos",3,26.75,46.25,7,600,85.71429,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"67",1998,"Santos",1,25.25,45.25,14,3000,214.28571,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"68",1998,"Santos",3,26.75,47.25,8,1000,125,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"69",1998,"Santos",2,27.25,47.25,3,1000,333.33333,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"70",1998,"Santos",1,25.25,46.25,10,2200,220,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"71",1998,"Santos",3,26.25,46.75,5,700,140,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"72",1998,"Santos",2,23.75,41.25,9,1800,200,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"73",1998,"Santos",3,27.25,46.75,13,2160,166.15385,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"74",1998,"Santos",1,28.25,47.25,10,4500,450,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"75",1998,"Santos",2,26.25,46.25,12,1800,150,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"76",1998,"Santos",1,27.25,46.75,14,1000,71.42857,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"77",1998,"Santos",2,26.75,46.75,12,2900,241.66667,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"78",1998,"Santos",1,25.25,45.25,14,2000,142.85714,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"79",1998,"Santos",4,25.75,46.25,12,2000,166.66667,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"80",1998,"Santos",3,28.25,47.25,12,3000,250,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"81",1998,"Santos",4,26.25,46.25,2,1200,600,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"82",1998,"Ubatuba",2,24.25,45.25,7,780,111.42857,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"83",1998,"Ubatuba",3,24.25,45.25,4,600,150,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"84",1998,"Ubatuba",2,24.25,45.25,7,950,135.71429,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"85",1998,"Ubatuba",2,24.25,45.25,8,1000,125,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"86",1998,"Santos",3,28.25,47.25,5,500,100,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"87",1998,"Santos",4,27.25,46.75,4,1000,250,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"88",1998,"Santos",3,28.25,47.25,16,6500,406.25,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"89",1998,"Santos",3,27.25,46.75,13,1700,130.76923,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"90",1998,"Santos",4,27.25,46.75,11,1500,136.36364,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"91",1998,"Santos",4,27.25,46.75,8,800,100,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"92",1998,"Santos",1,25.75,46.25,9,1200,133.33333,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"93",1998,"Santos",4,27.25,47.25,4,700,175,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"94",1998,"Santos",4,27.25,46.75,10,1500,150,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"95",1998,"Santos",4,27.25,46.75,2,700,350,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"96",1998,"Santos",1,24.75,44.25,12,2300,191.66667,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"97",1998,"Ubatuba",2,24.25,45.25,10,3500,350,"2.2","1.9","1.4","1.0","0.5","-0.1","-0.8","-1.1","-1.3","-1.4","-1.5","-1.6"
"98",1999,"Santos",3,25.25,46.25,1.5,350,233.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"99",1999,"Santos",3,25.25,44.75,4,910,227.5,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"100",1999,"Santos",1,23.25,41.75,5,1750,350,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"101",1999,"Ubatuba",4,25.25,46.25,10,1200,120,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"102",1999,"Santos",1,26.25,46.25,5,2250,450,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"103",1999,"Santos",4,25.25,44.75,6,1000,166.66667,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"104",1999,"Ubatuba",4,25.25,46.25,8,1000,125,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"105",1999,"Ubatuba",2,26.25,46.25,12,2800,233.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"106",1999,"Santos",2,25.25,45.25,2,106,53,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"107",1999,"Santos",2,26.25,46.25,8,3876,484.5,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"108",1999,"Santos",4,25.25,46.25,9,1949,216.55556,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"109",1999,"Santos",2,26.25,47.75,6,900,150,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"110",1999,"Santos",2,26.25,47.75,7.5,1000,133.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"111",1999,"Ubatuba",2,26.25,46.25,10,1500,150,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"112",1999,"Ubatuba",2,26.25,46.25,12,1730,144.16667,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"113",1999,"Ubatuba",2,26.25,46.25,12,3500,291.66667,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"114",1999,"Santos",1,26.75,46.75,15,2300,153.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"115",1999,"Santos",3,24.75,45.75,4,910,227.5,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"116",1999,"Santos",4,24.75,46.25,5.5,350,63.63636,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"117",1999,"Santos",2,26.25,46.25,8,1351,168.875,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"118",1999,"Ubatuba",3,25.25,46.25,10,1200,120,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"119",1999,"Santos",2,25.75,46.25,9.5,750,78.94737,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"120",1999,"Santos",2,26.25,46.25,2,106,53,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"121",1999,"Santos",4,27.25,46.75,10,2000,200,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"122",1999,"Ubatuba",2,24.25,44.25,10,820,82,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"123",1999,"Ubatuba",4,24.25,45.25,10,880,88,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"124",1999,"Santos",2,26.75,46.75,8,2385,298.125,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"125",1999,"Santos",4,26.75,46.75,5.5,1750,318.18182,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"126",1999,"Santos",1,25.25,45.25,12,2700,225,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"127",1999,"Santos",1,25.25,45.25,12,1000,83.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"128",1999,"Ubatuba",2,25.25,46.25,10,2100,210,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"129",1999,"Ubatuba",2,25.25,46.25,8,420,52.5,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"130",1999,"Ubatuba",3,25.25,46.25,10,1700,170,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"131",1999,"Santos",2,27.25,47.25,7.5,1000,133.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"132",1999,"Santos",3,27.25,48.25,5.5,1340,243.63636,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"133",1999,"Santos",4,27.25,46.75,12,2500,208.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"134",1999,"Santos",1,24.25,44.75,5,1750,350,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"135",1999,"Santos",4,26.75,46.75,8,1900,237.5,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"136",1999,"Santos",4,27.25,46.75,5,700,140,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"137",1999,"Santos",1,26.25,46.25,15,3000,200,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"138",1999,"Santos",1,26.25,46.25,18,3500,194.44444,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"139",1999,"Santos",2,27.25,47.25,6,900,150,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"140",1999,"Ubatuba",1,25.25,46.25,9,400,44.44444,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"141",1999,"Santos",4,26.75,47.25,5,700,140,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"142",1999,"Santos",4,28.25,47.25,10,950,95,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"143",1999,"Santos",4,26.75,46.75,5,1050,210,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"144",1999,"Santos",4,26.75,46.75,7,1000,142.85714,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"145",1999,"Santos",1,26.25,46.25,10,3000,300,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"146",1999,"Santos",2,24.75,45.75,2,106,53,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"147",1999,"Santos",4,26.75,46.25,5,1050,210,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"148",1999,"Santos",3,28.25,47.25,12,3500,291.66667,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"149",1999,"Santos",3,28.25,47.25,5,800,160,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"150",1999,"Santos",3,28.25,47.25,13,1300,100,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"151",1999,"Santos",1,24.75,46.25,5,2250,450,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"152",1999,"Santos",4,26.75,46.25,6,1000,166.66667,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"153",1999,"Santos",3,28.25,46.75,5,800,160,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"154",1999,"Santos",3,28.25,47.25,1.5,350,233.33333,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"155",1999,"Santos",3,28.25,47.25,9,1900,211.11111,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
"156",1999,"Santos",2,24.75,46.25,9,750,78.94737,"-1.5","-1.3","-1.1","-1.0","-1.0","-1.0","-1.1","-1.1","-1.2","-1.3","-1.5","-1.7"
